"limits",30.0009,100.0074
"peaks",43.892469995798386,50.97404683182233,75.01950488096622,91.02347741265484
"masked X","X","obs","calc","bkg","diff"
36.7331,36.7331,206.0,215.64184108707548,215.17323265155886,-31.461841087075477
36.7525,36.7525,201.0,215.706284550574,215.235396307269,-36.526284550574
36.772,36.772,200.0,215.77095302680723,215.2977554426781,-37.590953026807234
36.7914,36.7914,217.0,215.83518369899917,215.3596705245028,-20.655183698999174
36.8109,36.8109,213.0,215.8996386462884,215.42177990066378,-24.719638646288395
36.8303,36.8303,193.0,215.9636571337735,215.48344659988464,-44.783657133773495
36.8498,36.8498,197.0,216.0278995854702,215.54530640981636,-40.84789958547021
36.8693,36.8693,205.0,216.09203548367483,215.60704118895512,-32.912035483674835
36.8887,36.8887,206.0,216.1557377231986,215.66833535742958,-31.9757377231986
36.9082,36.9082,194.0,216.2196628098754,215.72982086292993,-44.03966280987539
36.9276,36.9276,211.0,216.28315535449778,215.7908671337836,-27.10315535449778
